"loudness","mode","speechiness"
-4.243,1,0.0745
-4.236,0,0.0357
-5.045,0,0.0328
-4.046,1,0.0696
-12.269,1,0.0351
-29.106,1,0.035
-17.178,1,0.0335
-20.327,1,0.0367
-17.567,1,0.0316
-25.243,1,0.0325
-14.612,1,0.0288
-24.003,1,0.0274
-13.631,0,0.0316
-24.487,0,0.0449
-13.84,1,0.0318
-22.52,1,0.0388
-15.218,0,0.0539
-17.327,1,0.0355
-23.168,0,0.0336
-14.137,0,0.0349
-15.2,0,0.0374
-21.931,0,0.0408
-16.522,0,0.0307
-13.135,0,0.0339
-20.479,1,0.0311
-7.436,1,0.0334
-6.904,1,0.0298
-10.864,1,0.0294
-9.203,1,0.0414
-7.763,1,0.0302
-6.593,1,0.027
-9.927,1,0.0307
-10.161,1,0.025
-9.978,1,0.0287
-12.971,1,0.031
-12.007,1,0.0291
-9.875,1,0.035
-8.386,1,0.0349
-5.428,1,0.117
-7.183,0,0.0479
-8.669,1,0.0537
-15.293,1,0.0435
-9.164,1,0.118
-8.693,1,0.109
-8.723,1,0.0385
-10.418,0,0.129
-6.654,1,0.0865
-8.014,0,0.0602
-12.009,1,0.0375
-8.895,1,0.0435
-8.664,0,0.0728
-18.797,1,0.0383
-8.234,1,0.196
-13.372,0,0.0371
-9.941,0,0.0734
-9.948,1,0.0466
-9.983,1,0.0715
-9.468,1,0.104
-12.35,1,0.0297
-11.238,0,0.0297
-9.019,1,0.0337
-13.592,1,0.0321
-7.827,1,0.0423
-16.183,1,0.0268
-16.5,1,0.0324
-10.845,0,0.0457
-9.684,1,0.0279
-10.958,1,0.0296
-13.957,0,0.0398
-13.338,1,0.0319
-9.185,1,0.0393
-2.134,0,0.479
-2.802,1,0.419
-3.21,1,0.417
-5.018,0,0.227
-6.452,0,0.289
-4.094,0,0.335
-2.513,0,0.418
-3.802,0,0.184
-4.273,0,0.318
-4.395,1,0.485
-4.405,1,0.471
-3.569,1,0.446
-3.835,0,0.454
-4.378,1,0.436
-5.959,1,0.0565
-5.604,1,0.0691
-6.775,1,0.037
-5.466,0,0.0921
-6.841,1,0.0412
-4.796,1,0.0991
-6.491,0,0.0381
-6.628,0,0.106
-13.529,1,0.0357
-7.635,1,0.0607
-11.836,0,0.0316
-6.942,1,0.033
-9.272,1,0.05
-7.551,1,0.0668
-6.784,1,0.0414
-14.799,1,0.0437
-11.9,1,0.0424
-19.323,1,0.0364
-21.484,0,0.0459
-27.699,1,0.0333
-19.179,1,0.04
-16.806,1,0.0408
-21.191,1,0.042
-30.53,0,0.0356
-17.948,0,0.0381
-18.003,1,0.0388
-20.325,0,0.034
-22.203,0,0.0343
-21.17,1,0.0468
-8.04,0,0.037
-8.208,1,0.0347
-8.062,1,0.0291
-11.644,1,0.0324
-9.974,1,0.0551
-8.672,1,0.0327
-10.489,1,0.0535
-9.01,1,0.0326
-7.837,1,0.0339
-8.675,1,0.0754
-11.47,1,0.0289
-7.297,1,0.0354
-25.537,0,0.0396
-20.489,1,0.0535
-26.129,0,0.0357
-24.731,0,0.0402
-25.841,0,0.0436
-25.348,0,0.0443
-25.006,0,0.0438
-33.731,0,0.0436
-26.327,0,0.0438
-22.646,1,0.0578
-32.58,1,0.0491
-23.255,1,0.0516
-24.906,1,0.063
-21.043,0,0.0531
-31.602,1,0.073
-28.951,1,0.0364
-5.266,0,0.0605
-5.289,0,0.057
-7.496,1,0.0406
-4.798,1,0.0478
-4.569,1,0.0652
-4.349,1,0.0527
-5.125,0,0.0269
-5.54,1,0.0505
-4.029,1,0.0476
-4.16,0,0.247
